雪鹑属	雪鹑
雨燕属	小白腰雨燕
凤头雨燕属	凤头树燕
草鸮属	仓鸮
草鸮属	草鸮
栗鸮属	栗鸮
角鸮属	黄嘴角鸮
角鸮属	纵纹角鸮
角鸮属	红角鸮
山鹧鸪属	白眉山鹧鸪
角鸮属	东方角鸮
角鸮属	琉球角鸮
角鸮属	领角鸮
雕鸮属	雕鸮
雕鸮属	林雕鸮
雕鸮属	乌雕鸮
渔鸮属	毛腿渔鸮
渔鸮属	褐渔鸮
渔鸮属	黄脚渔鸮
雪鸮属	雪鸮
山鹧鸪属	海南山鹧鸪
林鸮属	褐林鸮
林鸮属	灰林鸮
林鸮属	长尾林鸮
林鸮属	四川林鸮
林鸮属	乌林鸮
猛鸮属	猛鸮
鸺鹠属	花头鸺鹠
鸺鹠属	领鸺鹠
鸺鹠属	斑头鸺鹠
小鸮属	纵纹腹小鸮
山鹧鸪属	绿脚山鹧鸪
小鸮属	横斑腹小鸮
鬼鸮属	鬼鸮
鹰鸮属	鹰鸮
耳鸮属	长耳鸮
耳鸮属	短耳鸮
蛙口鸱属	黑顶蟆口鸱
耳夜鹰属	毛腿耳夜鹰
夜鹰属	普通夜鹰
夜鹰属	欧夜鹰
夜鹰属	埃及夜鹰
竹鸡属	棕胸竹鸡
夜鹰属	中亚夜鹰
夜鹰属	长尾夜鹰
夜鹰属	林夜鹰
鸽属	原鸽
鸽属	岩鸽
鸽属	雪鸽
鸽属	欧鸽
鸽属	中亚鸽
鸽属	斑尾林鸽
鸽属	点斑林鸽
竹鸡属	灰胸竹鸡
鸽属	灰林鸽
鸽属	紫林鸽
鸽属	黑林鸽
斑鸠属	欧斑鸠
斑鸠属	山斑鸠
斑鸠属	棕斑鸠
斑鸠属	珠颈斑鸠
火斑鸠属	火斑鸠
斑鸠属	灰斑鸠
鹃鸠属	斑尾鹃鸠
血雉属	血雉
鹃鸠属	栗褐鹃鸠
鹃鸠属	棕头鹃鸠
金鸠属	绿翅金鸠
绿鸠属	橙胸绿鸠
绿鸠属	灰头绿鸠
绿鸠属	厚嘴绿鸠
绿鸠属	黄脚绿鸠
绿鸠属	针尾绿鸠
绿鸠属	楔尾绿鸠
绿鸠属	红翅绿鸠
角雉属	黑头角雉
绿鸠属	红顶绿鸠
果鸠属	黑颏果鸠
皇鸠属	绿皇鸠
皇鸠属	山皇鸠
小鸨属	小鸨
鸨属	大鸨
波斑鸨属	波斑鸨
鹤属	白鹤
鹤属	赤颈鹤
鹤属	白枕鹤
雪鸡属	阿尔泰雪鸡
角雉属	红胸角雉
鹤属	沙丘鹤
鹤属	蓑羽鹤
鹤属	灰鹤
鹤属	白头鹤
鹤属	黑颈鹤
鹤属	丹顶鹤
花田鸡属	花田鸡
斑秧鸡属	红腿斑秧鸡
斑秧鸡属	白喉斑秧鸡
蓝胸秧鸡属	蓝胸秧鸡
角雉属	灰腹角雉
秧鸡属	普通秧鸡
长脚秧鸡属	长脚秧鸡
苦恶鸟属	红脚苦恶鸟
苦恶鸟属	白胸苦恶鸟
田鸡属	棕背田鸡
田鸡属	姬田鸡
田鸡属	小田鸡
田鸡属	斑胸田鸡
田鸡属	红胸田鸡
田鸡属	斑胁田鸡
田鸡属	白眉田鸡
董鸡属	董鸡
紫水鸡属	紫水鸡
黑水鸡属	黑水鸡
骨顶属	骨顶鸡
毛腿沙鸡属	西藏毛腿沙鸡
毛腿沙鸡属	毛腿沙鸡
沙鸡属	黑腹沙鸡
丘鹬属	丘鹬
沙锥属	孤沙锥
角雉属	黄腹角雉
沙锥属	澳南沙锥
沙锥属	林沙锥
沙锥属	针尾沙锥
沙锥属	大沙锥
沙锥属	扇尾沙锥
姬鹬属	姬鹬
塍鹬属	黑尾塍鹬
塍鹬属	斑尾塍鹬
杓鹬属	小杓鹬
杓鹬属	中杓鹬
勺鸡属	勺鸡
杓鹬属	白腰杓鹬
杓鹬属	大杓鹬
鹬属	鹤鹬
鹬属	红脚鹬
鹬属	泽鹬
鹬属	青脚鹬
鹬属	小青脚鹬
